#jānapada vastukośa, a dictionary of objects used in rural Karnataka. Data as scraped from Bharatavani.in

ಮರದ ಬಾಗಿಲು,"ಇದು ಹಳೆ ಮನೆಯೊಂದರ ವಿಶಿಷ್ಟವಾದ ಮರದ ಬಾಗಿಲು. ಸುಮಾರು ಮೂರೂವರೆ ಅಡಿ ಅಗಲ ಆರೂವರೆ ಅಡಿ ಎತ್ತರವಿದೆ. ಸುಮಾರು ನಾಲ್ಕು ಇಂಚು ದಪ್ಪ ಉಳ್ಳ ಹಲಗೆಯ ಮೂರು ತುಂಡುಗಳನ್ನು ಮೊಳೆ ಹೊಡೆದು ಹಾಗೆಯೇ ಜೋಡಿಸಲಾಗಿದೆ. ಬಾಗಿಲ ಒಂದು ಭಾಗದಲ್ಲಿ ಮೇಲೆ-ಕೆಳಗೆ ಸುಮಾರು ಒಂದು ಅಡಿ ಉದ್ದವುಳ್ಳ ಕಬ್ಬಿಣದ ಗೂಟಗಳನ್ನು ಜೋಡಿಸಿದ್ದಾರೆ. ಹೀಗೆ ಬಾಗಿಲನ್ನು ತೆಗೆಯಲು ಮತ್ತು ಮುಚ್ಚುವುದಕ್ಕೆ ಅನುಕೂಲವಾಗುತ್ತದೆ. ತಗಡು, ಪ್ಲೈವುಡ್ ಮುಂತಾದ ಬಾಗಿಲುಗಳು ಬಳಕೆಗೆ ಬಂದ ನಂತರ ಇಂತಹ ದಪ್ಪ ಮತ್ತು ಭಾರವಾದ ಬಾಗಿಲುಗಳ ಬಳಕೆ ಅಪರೂಪವಾಗಿದೆ."
ಮರದ ಸರಪಳಿ,ಮರದಿಂದ ತಯಾರಿಸಿದ ಸರಪಳಿ. ಇದನ್ನು ಅಲಂಕಾರಕ್ಕಾಗಿ ಬಳಸಲಾಗುತ್ತದೆ. ಒಂದೇ ಮರದ ತುಂಡಿನಿಂದ ಕೊರೆದು ಸುಂದರವಾದ ಈ ಸರಪಳಿ ನಿರ್ಮಿಸಲಾಗಿದೆ. ಇದು ಕಲಾವಿದನ ಉತ್ತಮ ಕಲಾ ಕೌಶಲ್ಯಕ್ಕೆ ಸಾಕ್ಷಿಯೆನಿಸಿದೆ. ಮರದ ತುಂಡು ಎಲ್ಲೂ ಒಡೆಯದಂತೆ ಒಂದರೊಳಗೆ ಮತ್ತೊಂದು ಬಳೆಯನ್ನು ಜೋಡಿಸಿ ಒಂದು ಅಡಿಯಷ್ಟು ಉದ್ದದ ಈ ಸರಪಳಿಯನ್ನು ನಿರ್ಮಿಸಲಾಗಿದೆ. ಇದರ ಒಂದು ತುದಿಯಲ್ಲಿ ಚೌಕಾಕಾರದ ಬೀಗವಿರುವಂತೆ ಕೆತ್ತಲಾಗಿದೆ. ಬಡಗಿಗಳು ಹವ್ಯಾಸಕ್ಕಾಗಿಯೂ ಇಂತಹವುಗಳನ್ನು ಅಪರೂಪವಾಗಿ ನಿರ್ಮಿಸುತ್ತಿದ್ದರು ಎನ್ನಲಾಗಿದೆ. ಈ ಸರಪಳಿಯಲ್ಲಿ ಎಲ್ಲಿಯೂ ಕೊಂಡಿಗಳು ಜೋಡಣೆಯಾಗದೆ ತಾಳ್ಮೆಯಿಂದ ಅವುಗಳನ್ನು ಕೊರೆದೇ ತಯಾರಿಸಿದ ಜಾಣ್ಮೆಯು ದಂಗುಬಡಿಸುವಂಥದ್ದು.
ಮರದ ಸುತ್ತಿಗೆ/ಜಾಗಟಿ ಸುತ್ತಿಗೆ,"ಜಾಗಟೆಯನ್ನು ಬಾರಿಸುವುದಕ್ಕೆ/ ಹೊಡೆಯುವುದಕ್ಕೆ ಬಳಸುವ ಮರದ ಸುತ್ತಿಗೆ. ಈ ಸುತ್ತಿಗೆಯ ಹಿಡಿಕೆಯು ಸುಮಾರು ಒಂದು ಅಡಿ ಉದ್ದವಿದ್ದು ಸುಮಾರು ಐದು ಇಂಚು ಸುತ್ತಿಗೆ ಇರುತ್ತದೆ. ಜಾಗಟೆಯನ್ನು ದಾಸಯ್ಯ ಎಂಬ ಒಕ್ಕಲಿಗ ಜನರು ಬಾರಿಸುತ್ತಾರೆ. ಇವರು ಹಬ್ಬಹರಿದಿನ, ಜಾತ್ರೆ, ಉತ್ಸವ, ಸಂತೆಗಳಲ್ಲಿ ಜಾಗಟೆ ಬಾರಿಸುತ್ತಾರೆ. ಮನೆ ಮನೆಗಳಿಗೆ ಹೋಗಿ, ದೇವರ ಹರಿಗೆಯನ್ನು ಇಟ್ಟು, ಎಡೆಹಾಕಿ, ಜಾಗಟೆ ಬಾರಿಸಿ, ಪೂಜೆ ಮಾಡುತ್ತಾರೆ. ಸುತ್ತಿಗೆಯ ಆಕಾರವು ಕಬ್ಬಿಣದ ಸಣ್ಣ ಸುತ್ತಿಗೆಯತಿದೆ. ಈ ಸುತ್ತಿಗೆಯನ್ನು ಬನ್ನಿ ಮರದಿಂದ ತಯಾರಿಸಿದ್ದಾರೆ."
ಮಸಿದವತಿ,ಹಿಂದಿನ ಕಾಲದಲ್ಲಿ ಕಲಮು ಎಂಬ ಲೇಖನ ಸಾಮಗ್ರಿಯನ್ನು ಬಳಸಲು ಅನಿವಾರ್‍ಯವಾಗಿ ಬೇಕಾಗಿದ್ದ ಮಸಿ ಕುಡಿಕೆ. ಇಂಥ ಎರಡು ಪುಟ್ಟ ಕುಡಿಕೆಗಳನ್ನು/ಕುಪ್ಪಿಗಳನ್ನು ಇರಿಸಲು ಅನುಕೂಲವಾಗುವಂತೆ ಅದನ್ನು ಮರದ ಚೌಕಟ್ಟಿನಲ್ಲಿ ಅಳವಡಿಸಿದ್ದಾರೆ. ಇದರಲ್ಲಿ ಮುಖ್ಯವಾಗಿ ಮಸಿಕುಡಿಕೆಗಳು ಭದ್ರವಾಗಿ ಸ್ಥಾಪಿತವಾಗಲು ಬೇಕಾದಂತೆ ಅರೆ ರಂಧ್ರಗಳನ್ನು ಕೆತ್ತಿ ಮಸಿಕುಡಿಕೆಯನ್ನು ಸ್ಥಾಪಿಸಿದ್ದಾರೆ. ಬದಿಯಲ್ಲಿ ಕಲಮುಗಳನ್ನು ಇರಿಸಿಕೊಳ್ಳಲು ಕೂಡ ಒಂದು ಪುಟ್ಟ ಖಾನೆ ಇದೆ. ಕಲಮನ್ನು ಮಸಿದವತಿಯಲ್ಲಿನ ಮಸಿಯಲ್ಲಿ ಆಗಾಗ ಅದ್ದಿಕೊಂಡು ಬರವಣಿಗೆ ಮಾಡುತ್ತಿದ್ದರು. ಬರವಣಿಗೆ ಬಲ್ಲವರೆಲ್ಲರಿಗೂ ಮಸಿದವತಿ ಅಗತ್ಯದ ವಸ್ತುವಾಗಿತ್ತು. ಬಾಲ್‌ಪಾಯಿಂಟ್ ಪೆನ್ನುಗಳು ಬಂದ ಬಳಿಕ ಇದರ ಅಗತ್ಯವೇ ಇಲ್ಲದಂತಾಗಿದೆ.
ಮಾಪನ,"ಎಣಿಸುವುದು, ತೂಕಮಾಡುವುದು ಮತ್ತು ಅಳತೆ ಮಾಡುವುದು ಒಂದು ಅದ್ಭುತ ಲೋಕ. ಲೋಕವ್ಯಾಪಾರವೇ ಈ ಮುಗ್ಗಾಲಿ ವಹಿವಾಟಿನಲ್ಲಿ ನಡೆಯುತ್ತದೆಯಲ್ಲವೇ? ಜನಪದರು ಈ ಅತ್ಯಗತ್ಯ ಮತ್ತು ಕೌಶಲಪೂರ್ಣ ಕೆಲಸವನ್ನು ಎಷ್ಟು ಸಮರ್ಪಕವಾಗಿ ನಿರ್ವಹಿಸಿದ್ದಾರೆ ಎಂಬುದನ್ನು ಅಧ್ಯಯನ ಮಾಡುವುದೇ ಕುತೂಹಲದ ಸಂಗತಿ. ಅಂತಹ ಸಾಧನಗಳಲ್ಲಿ ಕೆಲವನ್ನಷ್ಟೆ ಸದ್ಯ ಪರಿಚಯಿಸುತ್ತಿದ್ದೇವೆ."
ಮೀನಿನ ಗಾಳ,"ಕೆರೆ, ಕಟ್ಟೆ, ನದಿ, ಸರೋವರಗಳಲ್ಲಿ ಮೀನು ಹಿಡಿಯಲು ಬಳಸುವ ಸಾಧನ. ಸುಮಾರು ಹತ್ತು ಮೀಟರ್ ಉದ್ದವಿರುವ ಗಟ್ಟಿ ದಾರವನ್ನು ಸುಮಾರು ಎರಡುವರೆ ಅಡಿ ಉದ್ದದ ಬಿದಿರಿನ ಕೋಲಿಗೆ ಕಟ್ಟುತ್ತಾರೆ. ದಾರದ ತುದಿಗೆ ಉಕ್ಕಿನ ಕೊಂಡಿಯನ್ನು(ಗಾಳ) ಕಟ್ಟುತ್ತಾರೆ. ಈ ಕೊಂಡಿಯ ಮುಂದಿನ ತುದಿಯು ಚೂಪಾಗಿದೆ. ಇದಕ್ಕೆ ಎರೆಹುಳು, ಪುಟ್ಟಮೀನು, ಕರಿದ ತಿಂಡಿಗಳು ಮುಂತಾದ ಎರೆಗಳನ್ನು ಸಿಕ್ಕಿಸಿ ನಂತರ ಕೊಕ್ಕೆಸಮೇತ ದಾರವನ್ನು ನೀರಿನಲ್ಲಿ ಬಿಡುತ್ತಾರೆ. ದಾರದ ಅರ್ಧಭಾಗಕ್ಕೆ ಬೆಂಡಿನ ತುಂಡೊಂದನ್ನು ಕಟ್ಟಿರುತ್ತಾರೆ. ಎರೆಯನ್ನು ತಿನ್ನಲು ಬಾಯಿಹಾಕಿದಾಗ ಮೀನು ಗಾಳದಲ್ಲಿ ಸಿಕ್ಕಿಕೊಳ್ಳುತ್ತದೆ. ಮೀನು ಗಾಳಕ್ಕೆ ಸಿಕ್ಕಿದಾಗ ಬೆಂಡು ಮುಳುಗಿಹೋಗುತ್ತದೆ. ಆಗ ಗಾಳವನ್ನು ಮೇಲಕ್ಕೆ ಎತ್ತುತ್ತಾರೆ. ಈ ಗಾಳವನ್ನು ಮೀನುಗಾರರು ಬಳಸುತ್ತಾರೆ. ಹಾಗೂ ಹವ್ಯಾಸಿ ಮೀನು ಬೇಟೆಗಾರರು ಬಳಸುತ್ತಾರೆ."
ಮೀನು ಕೂಳಿ,ಕಿರುಪ್ರಮಾಣದ ಮೀನು ಬೇಟೆಗೆ ಬಳಸುವ ಸಾಧನ. ಇದನ್ನು ಇರಿಗೂಣೆ ಎಂದು ಕರೆಯುತ್ತಾರೆ. ಸುಮಾರು ಮೊಣಕಾಲೆತ್ತರ ನಿಂತ ನೀರಲ್ಲಿ ಇದನ್ನು ಫಕ್ಕನೆ ಮುಳುಗಿಸಲಾಗುತ್ತದೆ. ಇದರ ತಳಭಾಗವು ಸುಮಾರು ಒಂದೂವರೆ ಅಡಿ ವ್ಯಾಸದ್ದಾಗಿದ್ದು ಮೇಲ್ಘಾಗವು ಕಿರಿಯ ಗಾತ್ರದ್ದಾಗಿರುತ್ತದೆ. ಮೇಲ್ಭಾಗವು ಸುಮಾರು ಒಂಬತ್ತು/ಹತ್ತು ಇಂಚು ವ್ಯಾಸವಿದ್ದು ಒಳಗೆ ಕೈ ತೂರಿಸಿ ಕೂಣಿಯಲ್ಲಿ ಬಂಧಿತವಾದ ಮೀನನ್ನು ಹಿಡಿಯಲಾಗುತ್ತದೆ.
ಮೀನು ಬುಟ್ಟಿ,"ನಿಂತನೀರಲ್ಲಿ ಮೀನು, ಏಡಿ ಮುಂತಾದುವನ್ನು ಹಿಡಿಯಲು ಬಳಸುವ ಸಾಮಗ್ರಿ. ಇದರ ಒಳಗೆ ಒಂದಿಷ್ಟು ಹಸಿ ಸೆಗಣಿ, ಆಹಾರ ಪದಾರ್ಥಗಳನ್ನು ತುಂಬಿ, ನಿಂತನೀರಿನಲ್ಲಿ ಇದನ್ನು ಮುಳುಗಿಸಿಡುತ್ತಾರೆ. ಸಾಮಾನ್ಯವಾಗಿ ಇದನ್ನು ಸಾಯಂಕಾಲ ನೀರಲ್ಲಿ ಮುಳುಗಿಸಿಟ್ಟು ಮರುದಿನ ಮುಂಜಾನೆ ನೀರಿನಿಂದ ಎತ್ತುವುದು ರೂಢಿ. ಆಗ ಇದರೊಳಗಿನ ಆಹಾರವನ್ನು ತಿನ್ನಲು ಬಂದ ಮೀನು ಏಡಿಗಳು ಅದರಲ್ಲಿ ಸಿಕ್ಕಿಹಾಕಿಕೊಂಡಿರುವುದು ಕಾಣುತ್ತದೆ. ಏಕೆಂದರೆ ಇದನ್ನು ನೀರಿನಲ್ಲಿ ಅಡ್ಡ ಮಲಗಿಸಿ ಇರಿಸಿದಾಗ ಅದರ ತಳದಲ್ಲಿ ಮೀನು ಏಡಿಗಳು ಒಳಪ್ರವೇಶಿಸಲು ಅನುಕೂಲವಾಗುವಂತೆ ಒಂದು ರಚನೆಯಿದ್ದು ಅದರ ಮೂಲಕ ಒಳಗೆ ಪ್ರವೇಶಿಸಿದ ಮೀನು ಏಡಿಗಳು ಅದೇ ದಾರಿಯಲ್ಲಿ ಮರಳಿಬಾರದಂತೆ ರಚನೆಯ ತುದಿಯಲ್ಲಿ ಚೂಪಾದ ಎಂಟು-ಹತ್ತು ಉಲಿಬರಲು(ಕಡ್ಡಿ)ಗಳು ಒಂದೆಡೆ ಸೇರಿಕೊಳ್ಳುತ್ತವೆ. ನೀರಿನಲ್ಲಿ ಈ ಬುಟ್ಟಿಯನ್ನು ಅತ್ತಿತ್ತ ಸರಿಯದಂತೆ ತಡೆದಿಡಲು ಒಂದು ಕೋಲನ್ನು ಇದಕ್ಕೆ ಕಟ್ಟಿ ಕೋಲಿನ ತುದಿಯನ್ನು ಕೆಸರಲ್ಲಿ ಭದ್ರವಾಗಿ ನಾಟಲಾಗುತ್ತದೆ ಮತ್ತು ಬುಟ್ಟಿಯು ಎಲ್ಲಿದೆಯೆಂದು ಗುರುತು ಹಿಡಿಯಲು ಕೂಡ ಈ ಕೋಲು ಸಹಾಯಕವಾಗುತ್ತದೆ. ಇತ್ತೀಚಿಗೆ ಕೃಷಿ ಹೊಂಡಗಳು ಮುಚ್ಚುಗಡೆಯಾಗುತ್ತಿರುವುದರಿಂದ ಈ ತರಹದ ಮೀನುಗಾರಿಕೆ ಕೂಡ ಕಡಿಮೆಯಾಗುತ್ತಿದೆ."
ಮುತ್ತಿನಸರ,ಅಲಂಕಾರಕ್ಕಾಗಿ ಗೊಂಬೆಗೆ ಹಾಕುವ ಮುತ್ತಿನ ಸರ. ಇದನ್ನು ಬಣ್ಣ ಬಣ್ಣದ ಮುತ್ತಿನ ಮಣಿಗಳಿಂದ ಹೆಣೆದಿದ್ದಾರೆ. ದೊಡ್ಡ ಮತ್ತು ಚಿಕ್ಕ ಮುತ್ತಿನ ಮಣಿಗಳನ್ನು ಪ್ಲಾಸ್ಟಿಕ್ ದಾರಕ್ಕೆ ಪೋಣಿಸಲಾಗಿದೆ. ಮನೆಯ ಗೋಡೆಯ ಮೇಲೆ ಅಥವಾ ಷೋಕೇಸ್‌ನಲ್ಲಿ ಅಲಂಕಾರಕ್ಕಾಗಿ ಹಾಕುವ ಕ್ರಮವೂ ರೂಢಿಯಲ್ಲಿದೆ ಅಲ್ಲದೆ ಮನೆಯ ಅಲಂಕಾರವನ್ನು ಹೆಚ್ಚಿಸಲು ಅಪರೂಪವಾಗಿ ಬಳಕೆಯಾಗುತ್ತಿದೆ.
ಮುಂದೂಟಿ/ನೊಗಸುತ್ತು,"ನೊಗ ಮತ್ತು ರಂಟೆ/ಕುಂಟೆ ಮುಂತಾದವುಗಳನ್ನು ಬಂಧಿಸಲು ಬಳಕೆಯಾಗುವ ವಸ್ತು. ಇದು ಸುಮಾರು ನಾಲ್ಕರಿಂದ ಐದು ಅಡಿ ಉದ್ದವಿರುತ್ತದೆ. ರೈತರು ಉಳುಮೆ ಮಾಡುವಾಗ ಇದನ್ನು ವಿಶಿಷ್ಟ ವಿನ್ಯಾಸದಲ್ಲಿ ನೊಗಕ್ಕೆ ಪೋಣಿಸುತ್ತಾರೆ. ಕುಂಟೆ, ನೇಗಿಲು, ಕೂರಿಗೆಗಳ ಈಸುಗಳನ್ನು ನೊಗಕ್ಕೆ ಬಂಧಿಸಲು ಕೂಡ ಇದನ್ನು ಬಳಸುತ್ತಾರೆ. ಇದರ ರಚನೆ ಮತ್ತು ವಿನ್ಯಾಸಗಳಲ್ಲಿ ವ್ಯತ್ಯಾಸಗಳಿವೆ. ಇವುಗಳನ್ನು ಚರ್ಮ, ನೂಲು, ರಕ್ಕಸಬಳ್ಳಿ, ತೊಂಡೆಬಳ್ಳಿ ಮುಂತಾದವುಗಳ ನಾರುಗಳಿಂದ ಹೆಣೆದುಕೊಳುತ್ತಾರೆ. ಇದು ಸುಮಾರು ಎರಡು ಇಂಚು ದಪ್ಪವಿರುತ್ತದೆ. ನೈಲಾನ್ ಹಗ್ಗಗಳ ಬಳಕೆ ಬಂದನಂತರ ಪಾರಂಪರಿಕ ಮುಂದೂಟಿಗಳ ಬಳಕೆ ಕಡಿಮೆಯಾಗಿದೆ. ಸೈಕಲ್ ಟಯರುಗಳನ್ನು ಬಳಸಿಯೂ ಮುಂದೂಟಿಗಳನ್ನು ಮಾಡಿಕೊಳ್ಳುತ್ತಾರೆ."
ಮುದ್ದೆ ಬಟ್ಲು/ಕೈಬಟ್ಟಲು,"ಜೋಳದ ಮುದ್ದೆ ತಟ್ಟಲು ಬಳಕೆಯಾಗುವ ಸಾಧನ. ಬೆಂದ ಜೋಳದ ನುಚ್ಚು ಮತ್ತು ಹಿಟ್ಟಿನ ಮಿಶ್ರಣವನ್ನು ಮುದ್ದೆ ಆಕಾರಕ್ಕೆ ತಟ್ಟುವುದಕ್ಕಾಗಿ, ಅದನ್ನು ಬಟ್ಟಲಲ್ಲಿ ಹಾಕಿಕೊಂಡು ಎಡಕೈಯಿಂದ ಮೇಲಕ್ಕೆ ಎಗರಿಸುತ್ತ ಬಲಗೈಯಿಂದ ತಟ್ಟುತ್ತ ಆಕಾರ ಬರಿಸುತ್ತಾರೆ. ಮುದ್ದೆ ಬಟ್ಲು ಸುಮಾರು ಹತ್ತು ಇಂಚಿನಿಂದ ಸುಮಾರು ಹದಿನಾಲ್ಕು ಇಂಚು ಉದ್ದವಿದೆ. ಸುಮಾರು ಅರ್ಧ ಉದ್ದ ಹಿಡಿಕೆ, ಇನ್ನರ್ಧ ಉದ್ದ ಬಟ್ಲುಗುಂಡಿಗೆ ಬಳಕೆ. ಮುದ್ದೆಗುಂಡಿಯು ಸುಮಾರು ಆರರಿಂದ ಎಂಟು ಇಂಚು ವ್ಯಾಸದ್ದಾಗಿರುತ್ತದೆ. ಸುಮಾರು ಐದು ಇಂಚು ಆಳವಿದೆ. ಸುತ್ತಲಿನ ದಪ್ಪವು ಸುಮಾರು ಅರ್ಧ ಇಂಚು. ಮುದ್ದೆ ಬಟ್ಲನ್ನು ತುಂಬ ಭಾರದ ಮರದಿಂದ ರಚಿಸದೆ ಹಗುರವಾದ ಮರಗಳಿಂದ ರಚಿಸುತ್ತಾರೆ."
ಮೂಲ ಪದ,ವಿವರಣೆ
ಮೇಳಿ (ರಂಟಿ ಮೇಳಿ),"ರಂಟೆಹೊಡೆಯುವ ಸಂದರ್ಭದಲ್ಲಿ ಮಡಕೆಯ ಮೇಲ್ಭಾಗಕ್ಕೆ ಇದನ್ನು ಜೋಡಿಸಿಕೊಳ್ಳಲಾಗುತ್ತದೆ. ಸುಮಾರು ಮೂರೂವರೆ ಅಡಿ ಉದ್ದ ನಾಲ್ಕು ಇಂಚು ದಪ್ಪವಿರುತ್ತದೆ. ಕೆಳಭಾಗದಲ್ಲಿ ಸ್ವಲ್ಪ ಚಪ್ಪಟೆಯಾಗಿದ್ದು ಈಸುಗೆ ಸಿಕ್ಕಿಸಲು (ಜೋಡಿಸಲು) ರಂಧ್ರ ಹೊಂದಿರುತ್ತದೆ. ಇದರ ಸ್ವಲ್ಪ ಕೆಳಗೆ, ಮೇಲ್ತುದಿಯ ಹಿಂಭಾಗದಲ್ಲಿ ಸುಮಾರು ಹತ್ತು ಇಂಚು ಉಳ್ಳ ಬೆಣೆಯನ್ನು (ಗೂಟ) ಹಿಡಿಯಾಗಿ ಜೋಡಿಸಲಾಗುತ್ತದೆ. ಇದಿಲ್ಲದೆ ರಂಟೆಯ ರಚನೆ ಪೂರ್ತಿಯಾಗುವುದಿಲ್ಲ. ರಂಟೆ ಹೊಡೆಯುವಾಗ ಕೂಡ ಇದು ಮುಖ್ಯ ನಿಯಂತ್ರಕವಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತದೆ. ಇವುಗಳ ಗಾತ್ರದಲ್ಲಿ ವಿಭಿನ್ನತೆಯನ್ನು ಕಾಣಬಹುದು. ಹೆಚ್ಚಾಗಿ ಜಾಲಿ, ಬೇವು ಮುಂತಾದ ಮರಗಳಿಂದ ತಯಾರಿಸುತ್ತಾರೆ."
ಮೊರ/ಗೆರೆಸೆ,"ಧಾನ್ಯ, ಕಾಳುಗಳಿಂದ ಕಸಕಡ್ಡಿಗಳನ್ನು ಪ್ರತ್ಯೇಕಿಸುವುದಕ್ಕೆ ಬಳಸುವ ಸಾಧನ. ಮೊರದಿಂದ ಕೇರುವ/ಚಪ್ಪರಿಸುವ ಮೂಲಕವೂ ಆಯವರಿತು ಗಾಳಿಗೆ ತೂರುವ ಮೂಲಕವೂ ಧಾನ್ಯ/ಕಾಳುಗಳಿಂದ ಕಸಕಡ್ಡಿಗಳನ್ನು ಪ್ರತ್ಯೇಕಿಸಬಹುದು. ಒಂದೇಸವನೆ ಗಾಳಿಯನ್ನು ಬೀಸುತ್ತ ಭತ್ತದ ಕಾಳುಗಳಿಂದ ಕಸಕಡ್ಡಿಗಳನ್ನು ಪ್ರತ್ಯೇಕಿಸುವುದರಲ್ಲೂ ಗೆರಸೆಗಳನ್ನು ಬಳಸಿಕೊಳ್ಳುತ್ತಾರೆ. ಚಪ್ಪಟೆಯಾಗಿದ್ದು ಸುಮಾರು ಚೌಕಾಕೃತಿಯಲ್ಲಿದೆ. ಮೊರವು ಅಂಚಿನಲ್ಲಿ ಮೂರುಭಾಗಳಲ್ಲಿ ಸುಮಾರಾಗಿ ಎರಡು ಇಂಚು ಎತ್ತರದ ಚೌಕಟ್ಟು ಹೊಂದಿದೆ. ಬೆತ್ತ, ಬಿದಿರು ಮತ್ತು ಕೆಲವು ಬಳ್ಳಿಗಳ ಬಿಳಲುಗಳಿಂದ ಮೊರವನ್ನು ತಯಾರಿಸುತ್ತಾರೆ. ಇದು ದೀರ್ಘಕಾಲ ಬಾಳಿಕೆ ಬರಲು ನೀರಲ್ಲಿ ಕೆಲವು ದಿನ ಮುಳುಗಿಸಿಟ್ಟು ಬಳಿಕ ಒಣಗಿಸಿ ಸೆಗಣಿ ಬಳಿಯಲಾಗುತ್ತದೆ. ಕೇರೆಣ್ಣೆ, ಕುಸುಬೆ ಎಣ್ಣೆಗಳಿಗೆ ಹತ್ತಿ ಸುಟ್ಟಬಟ್ಟೆಗಳ ಬೂದಿಯನ್ನು ಬೆರೆಸಿ ಮೊರಗಳಿಗೆ ಹಚ್ಚುವುದು ಕೂಡ ಇದನ್ನು ದೀರ್ಘಕಾಲ ಬಾಳಿಕೆ ಬರುವಂತೆ ಮಾಡುವ ಇನ್ನೊಂದು ತಂತ್ರಜ್ಞಾನ. ಇತ್ತೀಚೆಗೆ ಪ್ಲಾಸ್ಟಿಕ್, ಫೈಬರ್, ಅಲ್ಯೂಮಿನಿಯಂ ಮೊರಗಳು ಪಾರಂಪರಿಕ ಮೊರಗಳನ್ನು ಮೂಲೆಗುಂಪಾಗಿಸಿವೆ."
ರಂಟೆ/ಮಡಕೆ,"ಉಳುಮೆ ಮಾಡಲು ಬಳಸುವ ಸಾಧನ. ನೊಗಕ್ಕೆ ರಂಟೆಯನ್ನು ಕಟ್ಟಿಕೊಂಡು ಎತ್ತುಗಳ ಸಹಾಯದಿಂದ ರಂಟೆ ಹೊಡೆಯಲಾಗುತ್ತದೆ. ನೊಗಕ್ಕೆ ರಂಟೆ ಕಟ್ಟಿಕೊಳ್ಳಲು ಮಿಣಿ, ಹಗ್ಗ ಹಾಗೂ ಕೊರಳಪಟ್ಟಿ, ಪಟಗಾಣಿ ಇವುಗಳನ್ನು ಬಳಸಲಾಗುತ್ತದೆ. ರಂಟೆಯಲ್ಲಿ ಈಸು, ಮಡಕೆ, ಮೇಳಿ, ಜಿಗಳಿಗಳೆಂಬ ಭಾಗಗಳಿವೆ. ಕಾಳುಗಳನ್ನು ಬಿತ್ತನೆ ಮಾಡುವುದಕ್ಕಾಗಿ ಸಾಲುಗಳನ್ನು ಮಾಡಲು, ಪೈರಿನ ಬುಡಕ್ಕೆ ಮಣ್ಣು ಏರಿಸಲು/ಒಬ್ಬೆ ಏರಿಸಲು, ಬೆಳೆಯ ಸಾಲುಗಳ ಮಧ್ಯೆ ನೀರು ಹಾಯಿಸುವ ಹರಿಓಣಿಗಳನ್ನು ಮಾಡಲು ರಂಟೆಯು ಬಳಕೆಯಾಗುತ್ತದ. ಉತ್ತರ ಕರ್ನಾಟಕದಲ್ಲಿ ಇದರ ಬಳಕೆ ಹೆಚ್ಚು. ಬೇವು, ಕರಿಜಾಲಿ ಮುಂತಾದ ಮರಗಳಿಂದ ರಂಟೆಯನ್ನು ತಯಾರಿಸುತ್ತಾರೆ. ಕಬ್ಬಿಣದ ನೇಗಿಲು ಮತ್ತು ಟ್ರಾಕ್ಟರ್‌ನೇಗಿಲು ಬಳಕೆಗೆ ಬಂದ ನಂತರ ಇದರ ಬಳಕೆ ಕಡಿಮೆಯಾಗಿದೆ."
ರಂಪಿಗೆ,"ಪಾದರಕ್ಷೆಗಳನ್ನು ತಯಾರಿಸುವಾಗ ಚರ್ಮ, ದಾರ ಇತ್ಯಾದಿಗಳನ್ನು ಕತ್ತರಿಸಿಕೊಳ್ಳಲು ಬಳಸುವ ಉಪಕರಣ. ಇದು ತೆಳುವಾದ ತಗಡಿನಿಂದ ನಿರ್ಮಾಣವಾಗಿದ್ದು ಇದರ ಅಲಗು ಅರ್ಧ ಚಂದ್ರಾಕಾರದಲ್ಲಿರುತ್ತದೆ. ಇದನ್ನು ಹಿಡಿದುಕೊಳ್ಳಲು ಮೇಲ್ಭಾಗದಲ್ಲಿ ಒಂದು ಹಿಡಿ ಇರುತ್ತದೆ. ಈ ಹಿಡಿಯು ಅಲಗಿನ ತಗಡಿನ ಭಾಗವೇ ಆಗಿರುತ್ತದೆ. ರಂಪಿಗೆಗಳ ಗಾತ್ರದಲ್ಲಿ ಸ್ವಲ್ಪಮಟ್ಟಿನ ವ್ಯತ್ಯಾಸವಿರುತ್ತದೆ. ಇದು ತುಂಬ ಹರಿತವಾಗಿದೆ. ಪಾದರಕ್ಷೆಗಳು ಕಾರ್ಖಾನೆಗಳಲ್ಲಿ ತಯಾರಾಗುತ್ತಿರುವ ಇಂದಿನ ದಿನಗಳಲ್ಲಿ ಸಮಗಾರರ ರಂಪಿಗೆಯು ನಿಧಾನವಾಗಿ ಮರೆಯಾಗುತ್ತಿದೆ."
